,Unnamed: 0,content,intensity,sentiment
101,101,the mission to wales to find the worlds greatest welsh cake with  was a success  as none are better than my nans,1,happiness
102,102, i wish you were here nowww grrrrrrr,1,sadness
103,103,id call that feeling relaxed,1,happiness
104,104,i didnt feel i rushed things dhawan tweet script type text javascript src http platform,1,anger
105,105,has a headaaaaaaaaaaaache,1,sadness
106,106,feeling really dizzy  not soo good,3,sadness
107,107, alison is great around miley love to meet her when you see her can you tell her to give a shoutout to   1 fan,1,happiness
108,108,a classmate damaged ma iron and tried to hide the damage,1,anger
109,109,poor bretty  but yay phils,1,sadness
110,110,i feel greedy with my self as of late,2,anger
111,111,im feeling sorry for myself i think of miss jimmy who had nothing and yet was thankful for everything,2,sadness
112,112,havent been on here in ages  sorry twitter tweetdeck is broken,1,sadness
113,113,working on our baseball fundraiser  get 10 percent off platium or diamond wedding package if you let us know you saw us on twitter,1,happiness
114,114,ive reserved the right to feel all stubborn and powerless about it,1,anger
115,115,i feel an emotional attachment to his work that i simply don t feel with anyone else,1,sadness
116,116,i think ive just been feeling a little bothered,2,anger
117,117,i may heighten crucial concerns pertaining to expatriates predominantly budgetary but also during the areas i always really feel could be useful and or important or perhaps fascinating,1,happiness
118,118,i have a pit in my stomach feeling disappointed,1,sadness
119,119, miss chatting with you,1,happiness
120,120,i was starting to feel the kick of the alcohol and jerald was slightly amused and said he would probably see me down half an hour later,2,happiness
121,121,my friend still trusts me as a friend,1,sadness
122,122,i listened to oral arguments for a case that left me feeling frustrated and confused,1,anger
123,123,i feel such an attachment to cindy her sweet family and atticus,2,happiness
124,124,i be having a drink with marc while izzy is sleepin  woot woot,1,happiness
125,125,i am beginning to feel like a fabulous adult,1,happiness
126,126,what a great day,1,happiness
127,127,i could walk at a slow pace browse each booth as long as i wanted and dart in and out of the shops on main street without feeling rushed,1,anger
128,128, lol hell yeah,2,happiness
129,129, i watched that too i liked it,1,happiness
130,130,i homophobic men repressed homosexual feelings paranoia projection a tragic story how dangerous sexual repression is,2,sadness
131,131,a colleague asked me to study with her i could not explain things as perfectly as she had expected so she reacted in an aggressive manner,2,anger
132,132,i enjoy exercising feeling and looking fantastic amd love having so much more energy,2,happiness
133,133,i have officially hit the wall totally nonfunctionalproductive at work,1,sadness
134,134,hard to start the week after a long fun sunny weekend of tennis free food and drink and very nice people 5 days to go until next round,1,sadness
135,135,i came home from work today feeling satisfied that work went alright,2,happiness
136,136,im sooo lost without my car  this is truly depressing pregnant people should never be this stressed out,3,sadness
137,137, hahaha yes i do,1,happiness
138,138,i want a natasha gan dress just cos i can wear it out and feel fab i want blue suede boots the colour of the ocean i want i want i want i need none of the above but it won t stop me going to chadstone tonite or tomorrow,1,happiness
139,139,i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,1,happiness
140,140, didnt work for me  except when i used the word autofollow and got followed by an bot selling an autofollow program,1,sadness
141,141,i have had things happen and allowed things to happen to me that have made me feel ugly disgusting and unworthy of being loved or even feeling like i matter in this world,2,sadness
142,142,3 to go and uploading photos to email would be ten tenenen tenen done,1,sadness
143,143,being told that i have not got a personality,1,anger
144,144,i feel ashamed of you,3,sadness
145,145,i feel incredibly disappointed in myself,3,sadness
146,146,the maccabees new album is a winner everybody should take a listen fact,1,happiness
147,147,i am feeling fairly virtuous,3,happiness
148,148,my boyfriend and i were getting dressed up and putting makeup on to go to a halloween party we were dressing up to be two mimes it was very enjoyable and i thought we looked really good it was an accomplishment we were alone in his house,3,happiness
149,149,having passed an exam,1,happiness
150,150,sha and i are fcpmacbook pro buddies now,1,happiness
151,151,i was tempted to feel a little bitter but then i saw this,1,anger
152,152,i understand and appreciate the concern for safety i feel that the real focus of the market the vendors has been ignored,1,sadness
153,153,i feel a little weepy over the fact that my baby is no longer a baby,2,sadness
154,154,i cant wait to feel her innocent spirit,1,happiness
155,155,i feel dirty even admitting that ive seen it much less own it on dvd,1,sadness
156,156,shaw guys are over when i want to be sleeping,1,sadness
157,157,when i heard that my father had been involved in a car accident in lusaka  this happened when he had gone to get the car which had been stolen in lusaka,1,sadness
158,158, i got a coupon but i couldnt register it because you have to be in the us,1,sadness
159,159,i started to feel rotten sore stomach sickness and needing to go the toilet,1,sadness
160,160,rip kelly  fucccccck,2,sadness
161,161, yea just fun divea bit scary sometimes but fun  u like diving,1,sadness
162,162,my friends are in san pablo right now theyll be drinking laughing and swimming and iim here  huhuhu,1,sadness
163,163, quotits your birthday so i know you wanna riiidddddeeee outquot have fun in the club,1,happiness
164,164,mean people suck,1,sadness
165,165, happy birthday  sorry for the blank one my sister messed me up,1,sadness
166,166,i was able to feel slightly less obnoxious knowing that other girls were jonesing as hard as i am,2,anger
167,167,i started a new branch of studies after having failed a former one  when i got back my exam papers i was very happy to know that i almost had full marks,3,happiness
168,168,watchin what a girl wants with mom and brittany,1,happiness
169,169,getting into this university,1,happiness
170,170,my father left us for another woman,1,sadness
171,171,  damned hordies,1,anger
172,172,i don t know why i should feel humiliated to write about it,1,sadness
173,173,  i wish you could get back in yours im thinking only 16 hours a week out of the bubble would be okay,1,sadness
174,174,i listen to it a feel peaceful and happy and who couldnt use a big dose of that in their lives,2,happiness
175,175, dbl booooooo for being sick flippin blows  bahaha i kno i dont have many friends on here either i feel so lame  haha,1,sadness
176,176,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,3,anger
177,177,i love you all d pagetitle superman mereka penyeri my life without them i feel like blank sheet of paper,1,sadness
178,178,i realised something was wrong when i started to feel everyone hated me and was saying things about me and only wanted to talk to me because they pitied me,1,anger
179,179,i feel that is how we can be safe to be ourselves and trust,1,happiness
180,180,nevermind beyonce doesnt have a twitter  haha,1,happiness
181,181,got my tattoo fixed today and it didnt hurt to much thank god  cant wait to get the next one ,1,happiness
182,182, yeah  of course next time  icq,1,happiness
183,183,   me too  it depresses me thinking about it,1,sadness
184,184,i set off feeling fab and ran first section pretty well,1,happiness
185,185,im about one fourth through this bottle and im feeling a bit disappointed,2,sadness
186,186,i feel hopeless and bored,1,sadness
187,187,i feel as though ive reached a point in my career where im highly respected there,1,happiness
188,188,i have been in contact with people who are feeling extremely irritable and experiencing major headaches remotional outbursts,3,anger
189,189,i am loving this sunshine and hating the thought of my office without windows,2,sadness
190,190,i never feel satisfied or satiated like i used to when we were dining out,1,happiness
191,191,i sat in the car and read my book which suited me just fine i also wasnt feeling very sociable that morning due to a rather bad nightmare the night before so reading my book was the best thing to do,1,happiness
192,192,i feel a bit annoyed and antsy in a good way,2,anger
193,193,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be amp you get emotional,1,sadness
194,194,i feel so brave and courageous of the tiny me,1,happiness
195,195,i feel very relaxed playing with carl clarke says,3,happiness
196,196,is going to watch the two davids yey,1,happiness
197,197,i dont think thats what ill do because i feel its just really awkward,3,sadness
198,198,i used to think that men needed their women to like and respect all their friends and family in order to feel respected themselves,1,happiness
199,199,gave the bikes a thorough wash degrease it and grease it think i did a really good job,2,happiness
200,200,ive been feeling very lethargic with the fact that i worked till plus on days that i need to pay back the hours for my lessons days and sleeping at plus every night ever since the beginning of this week,1,sadness
201,201,when my exboyfriend and i separated,1,sadness
202,202, haha thanks  yep definately a dream come true  so excited the camera was shaking when i was taking a photo,1,happiness
203,203, was it for the vmas i guess so also wanna go to london in june for demi lovato concert but no ones going with me,1,sadness
204,204,i must admit ive been feeling pretty low about it the last couple of weeks,2,sadness
205,205,i feel much more relaxed this year said jane pollicino who came to ground zero tuesday morning to mourn her husband who was killed at the trade center,1,happiness
206,206,i have had the luxury of expressing myself and my feelings without the fear of getting beaten up or scolded,1,sadness
207,207,i have vampire knight  music  i feel very special,1,happiness
208,208,i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,1,anger
209,209,im down to blogging again simply because im feeling very distracted though im suppose to study cell bio now,1,anger
210,210,i feel reassured that i was able to observe myself clinging with such clarity,1,happiness
211,211, lol good morning  ran 4 milles amp hit the gym  have a great day,1,happiness
212,212,i know my sunshine did wonderful today  i had an alright day text me twitterers,1,happiness
213,213,i sit here feeling drained i really wonder what will i do when i reach that point,1,sadness
214,214, nooo it was a real mushroom but our neighbor uprooted it,1,sadness
215,215,when i passed the first year and so i could come back for my second year,1,happiness
216,216,i feel like ive got the content down i print my work and read it through,1,happiness
217,217,i have the dried bladders all ready for a day im feeling brave,1,happiness
218,218,i was feeling creative i see you alternate version of me,1,happiness
219,219,i don t know if these children will fulfill their dreams but i am happy that they as sponsored children have a better chance of doing so and that instead of feeling hopeless they have a vision of something beyond their lives of poverty,1,sadness
220,220,i feel terrible and sexist whenever im in a group of women and they start talking about dieting and my brain automatically drops the t,1,sadness
221,221, n u cant change your profile backgroud neither,1,sadness
222,222, actually i play keyboards for pohaku lol we played a 12st bday earlier and now im spinning at the shack,1,happiness
223,223,i feel pissed off and angry,2,anger
224,224,i want to feel but my body is numb,1,sadness
225,225,i was driving i feel so contented after sadhana so fulfilled,1,happiness
226,226,i feel like if he was innocent he wouldn t feel like he has anything to prove,1,happiness
227,227,im feeling generous again here it is in its entirety for free consumption,1,happiness
228,228,i just wanted to read books watch tv and feel miserable,1,sadness
229,229,i don t feel bitter about my lot nor do i wish any other mother s son was in my place,1,anger
230,230,im nervous but feeling passionate,1,happiness
231,231,its a beautiful night im stuck inside feelin ill instead of being a crazzzzzzzy ass party,1,sadness
232,232, you are very much welcome,1,happiness
233,233,hate being sick  especially when theres no one to pamper me,1,sadness
234,234,i feel sad i will just ignore and pretend i dont feel anything,1,sadness
235,235,i feel just as gloomy about it at the age of as i did when i was,1,sadness
236,236,such a fun night with bekah just talkin and stuff wuv her,1,happiness
237,237,i feel most of the time i think i look pretty cute,1,happiness
238,238,im feeling today youd think that the men had beaten me up,1,sadness
239,239,i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration,2,anger
240,240,just realized tonights drake,1,happiness
241,241, well im a little bit sick but im fine,2,sadness
242,242,i left that day feeling a little dirty and wondering if i should morally take the class,2,sadness
243,243,i feel stupid enough,1,sadness
244,244,i stayed for a short while but feeling like he didnt need me anymore and having my own emotional drainage to work through i decided i needed to go home,1,sadness
245,245,i told him that i have been feeling like he cant really be bothered with me,3,anger
246,246, awww thats nice  you both make a really beautiful couple you balance each other,1,sadness
247,247, warm and wet  spent the day carpet cleaning the yacht,1,sadness
248,248,i feel mellow antonios,1,happiness
249,249,when my elder sister had a baby girl  she was the first girl in the family after 19 years of baby boys,1,happiness
250,250, ooc sorry we keep missing each other,1,sadness
251,251,when it suddenly appeared that our dog was dangerously ill and probably would die we had not expected this because he was always very healthy fortunately he survived because we in turn gave him medicines during the night,1,sadness
252,252,i got a haircut today so yes i feel handsome,1,happiness
253,253,i feel we need to bear in mind though is that there are low cost resort rooms in europe and england if we look,1,sadness
254,254,had a lovely breakfast with mumyummy pancakes,1,happiness
255,255,i sensed he had so much to offer but there were also many many times where his behaviour made me doubt myself did not make me feel special and at times frankly just rude and immature,1,happiness
256,256,i have here is that whilst in one turn ill want people to make me feel better but on the other i dont want to have to think about it at all,1,happiness
257,257,god ill miss my bf so fuckin much  its only 2 months now sn√ø¬ø¬ωff,3,sadness
258,258,i kept waking up and feeling glad the dream was over then i would fall back asleep only to the dream continuing,1,happiness
259,259,i often find my self feeling offended myself when i hear people who i believe to be otherwise brilliant people following what i consider odd superstitions and strange rituals,1,anger
260,260,  lol zzzzy in office and im alone in my bay again,1,sadness
261,261,i feel so happy when i eat something that i know i started from seed and cared for along the way,3,happiness
262,262,i can have such a faith because i believe that there are people who have left feeling dismayed and disappointed in a god who did no miracles in their lives,1,sadness
263,263,i am feeling irritated anxious which is often then i dont even like my kids touching me,2,anger
264,264,i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,2,sadness
265,265,ahhh i finally went to yogurtland  i saved my spoon hahaha,1,happiness
266,266,i hate talking about presents because i feel greedy,2,anger
267,267,i mention how you exfoliate at the same time save loads of money and feel divine,1,happiness
268,268, hey is it going to be viewable in the uk this time  it broke my heart when i couldnt play the last one  haha,1,sadness
269,269,i feel he is a terrific actor,1,happiness
270,270,i sat there feeling frustrated that i didnt know about some of the different things ashton and isaac could have been involved in why werent the boys pro active about getting involved in more things and getting more awards,1,anger
271,271,i feel bouncy and twitchy all of a sudden,1,happiness
272,272,i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,1,sadness
273,273,i feel like doing or not doing its mind numbingly dull to debate the nuances of the women this and men that model,1,sadness
274,274,its too hot to be sat in an office  i wanna be out in the sun shineeeee,2,sadness
275,275,i was feeling remarkably calm at this point,1,happiness
276,276, thx girl i just now woke up i cnt believe im sick now i have a fever wish i could pound nyquil  this sucks,1,sadness
277,277,i feel very very virtuous,3,happiness
278,278,legs are still numb from journey to atlantiscoldness buttt it was an awesome day,2,happiness
279,279,i didn t feel very reassured by her tone but i understand this is a big shock and adjustment for everyone,2,happiness
280,280,ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,1,anger
281,281,im feeling low and forgotten,3,sadness
282,282, well i am on the right side of thirty,1,sadness
283,283,when during a social evening with my father brother sister close friend and my fathers 2nd wife  i had an argument with my father who abused my friend who was sticking up for me,1,anger
284,284,show gratitude when someone does something nice for you a small quotthanksquot goes a long way      twitip,1,happiness
285,285,i just do it to keep up with ian but really i feel shitty about it and wish i could just date ian,2,sadness
286,286,im so afraid that i will fuck it up like i did with phil but im at the perfect time in my life and this feels so much more flawless,2,happiness
287,287,i just feel really emotionally drained,3,sadness
288,288,how to have a glowing face my complexion is always so pale,1,sadness
289,289,i cant tell if the moments of shock that im not feeling are because im jaded or if lovecraft actually missed the note to use a musical analogy,1,sadness
290,290,giving myself a manicure  pedicure  ahhh how ive missed you nice pretty nails,1,happiness
291,291,i couldn t tell if he was sick injured or just feeling generally awful but he climbed into the team car and abandoned the race right there with spectators snapping away on their phones,1,sadness
292,292,i realized i was a total idiot and forgot clarinet choir making me feel even more idiotic and stupid then i already was,2,sadness
293,293,i wasn t on a diet or looking to lose weight i just wanted to feel more energetic brighter less lethargic amp try to control my sugar cravings,1,happiness
294,294,also im really missing sami just thought i would throw that one out there,3,sadness
295,295,oh no i just crashed my ball pump,1,sadness
296,296,its 630pm  sun is setting soon and i should be setting off soon too grab some dinner and catch sitcoms,1,sadness
297,297,when i passed and qualified for the university,1,happiness
298,298,i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,1,anger
299,299,ill be whingeing about how much i ache but at least i can feel slightly virtuous about it too,2,happiness
300,300,fab sunny day,1,happiness
301,301,i remembered feeling unwelcome feeling like nobody wanted me there and the feeling was terribly familiar,1,sadness
302,302,everybody is awake well not everybody u know what i mean ma friends haha and im having fun aiming them,1,happiness
303,303,i feel that blogging is less dignified than other media which is why i do it but i also understand it s not a competition and the distinction is somewhat blurred so it s really just a a href http www,1,happiness
304,304,im glad we did a good job,1,happiness
305,305,why are the sinks in hospital toilets so low now the crotch of my grey suit is spattered with water just in time for physio,1,sadness
306,306,i this feels rebellious to me,1,anger
307,307,i struggled to come up with an interesting title for this blogpost but its about lipbalms and i feel most people would consider this to be a boring subje,1,sadness
308,308,i expressed my concerns that jens mobility had really declined to the point that she now sometimes uses crutches and on a good day the doctor suggested occupational therapy and said he would contact our local occupational therapist and we went on our merry way feeling rather disheartened,1,sadness
309,309,im in a pub garden  its boiling  hannah no likey,1,happiness
310,310,im feeling fine,1,happiness
311,311,i keep feeling so disgusted with myself,2,anger
312,312,i feel wonderful because i see aku merasa luar biasa karena kulihat the love light in your eyes,1,happiness
313,313,morning everyone,1,happiness
314,314,bad day just got worse,2,sadness
315,315,i havent seen muffin in two whole days,1,sadness
316,316, i never was good at platform games,1,sadness
317,317,i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,1,anger
318,318,someone talking about me at my back,1,anger
319,319,i could easily describe this transformed feeling as hopeless but it was an anesthetized type of hopelessness,1,sadness
320,320,i feel this feeling when i am to fill in a questionnaire or a form,1,anger
321,321,im thinking about death at the moment and feeling really sad because my lovely uncle shaun has died,3,sadness
322,322,i feel really greedy but i like hogging him,3,anger
323,323,is going to get a full nights sleep tonight so her arm can get better its no fun being forced to use your left hand,1,sadness
324,324,ive realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him,3,anger
325,325,i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,2,sadness
326,326,i do feel a bit delighted,2,happiness
327,327,i feel so tranquil right now its great,2,happiness
328,328,the holidays come to an end and the next day we had to go back to university and to the exams,1,sadness
329,329,when i heard about the death of my aunt,1,sadness
330,330, woot woot super cool,3,happiness
331,331,i wish that there were some way i could numb myself when i need it but i either feel everything or go completely numb,1,sadness
332,332,i cried,1,sadness
333,333, so my son is not the only one  thats really nice to know  he really is good at being three and dh will be late today,1,happiness
334,334,off to the dream world to battle the evil spork horde  later folks,1,happiness
335,335,i would feel differently if i believed that the leaders were perfectly truthful,3,happiness
336,336,i feel so terribly that i have ignored her sweet email up until now,3,sadness
337,337, haha  thanks,2,happiness
338,338,im so hungry,2,sadness
339,339,i used to hate going to work so much but after today i feel reassured that im doing a good job,1,happiness
340,340,time to sign off for the night everyone have a great one to all the mothers out there quothappy mothers dayquot,1,happiness
341,341,i feel this command is useful to check the free space in log file for all databases in over go,1,happiness
342,342,finally sunny days and im too sick to go outside and play,2,sadness
343,343,i cant even tell you how refreshed i feel exhausted,1,sadness
344,344,so sad that no friends everyday for a long ass time,1,sadness
345,345,i feel the near and lively presence of the well loved past,1,happiness
346,346,i feel isolated unnatural yeah i feel tense unnatural yeah i feel uncaring unnatural,1,sadness
347,347,i felt anger of a friend when she met a date and become nervous and pest as she always gets when she meets him,1,anger
348,348,  love the comeback i will stay tuned you fellows should follow people on here though youll in turn get more followers,1,happiness
349,349,i almost always feel the inside of my tire but in my rushed state i failed to do this important step,1,anger
350,350,is eating lunch at sushi tei sency yum met ghina earlier,1,happiness
351,351,one for the mums  happy mothers day amp a special mention 4 one of our newest members  hope  was good 4 u amp 2 u,1,happiness
352,352,i feel lame saying mommy just needs to pay this bill call a guy about the camper and paint bedrooms to be more neutral,1,sadness
353,353,the oddos grandfather passed away in his sleep,1,sadness
354,354,when others let me down fail to keep agreements,1,anger
355,355,i wondered if i would feel a bit lost when i got to the end of the programme but at the same time i was looking forward to running to my own music and setting my own goals,1,sadness
356,356,i have no planning at all and im feeling really bad about this,2,sadness
357,357,i went i was amazed at what i have and i began to feel when the woman canal spoke about the divine hierarchies and they wanted us to do for a new era of spiritual evolution,1,happiness
358,358,i feel as if im a doomed to fail b setting myself up to think that im doomed to fail,1,sadness
359,359,got beat by super larryonation,1,sadness
360,360,i imagine they ll stay with me forever and i feel thrilled that i have a copy for my very own so that i can dip back into it whenever i wish,1,happiness
361,361, glad you like it,1,happiness
362,362,i feel homesick and miss my snobbish fluffy cat,1,sadness
363,363,im tired of feeling annoyed and drained,3,anger
364,364,i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,2,sadness
365,365,i will continue to feel disgusted every time i accidentally catch a glimpse of myself in the mirror or see the results of an impromptu picture,1,anger
366,366,i feel a bit jealous because i been trying to date him long time ago but he doesnt want me,2,anger
367,367,i received a letter from my grandmother she has obviusly suffered a lot from my grandfathers suffering health she mentioned things she had gotten him and he would never use,1,sadness
368,368,ok i want to quit my job,1,sadness
369,369,last day in st andrews i will spend it on west sands and then packing,1,sadness
370,370,im stuck feeling hopeless at this time,1,sadness
371,371,im not going to lie ive been feeling rather happy lately which is odd for me since im rarely happy when school is in session,1,happiness
372,372,i feel the most discouraged lonely and stressed,1,sadness
373,373,school is going to be absolutely horrible today peace out 09,1,sadness
374,374,i am feeling a little happy with him,2,happiness
375,375,time for school  im feelin good 5 am jogs do good aloha,1,happiness
376,376,joy of giving birth and of sharing that joy with my husband moments of complete happiness and feelings of so much love,2,happiness
377,377,when i got my ba degree with first class,1,happiness
378,378,yay just bought american dad volume 4  also seen australia is out on dvd could be a lot cheaper than going,1,happiness
379,379,  im afraid so all tour i have had people refusing to believe that i am anything else irish all the way,1,sadness
380,380,piecing a photo quilt for boeing employees to be hung in huntington beach sadly many people in the quilt pics are now laid off,1,sadness
